date,overnight_pct,previous_return_pct,vix_previous,previous_close,price_1030
2026-07-17,-0.0100,-0.0061,102.82,7457.09,7482.49
2026-07-20,-0.0018,0.0026,96.34,7443.28,7494.23
2026-07-21,0.0082,0.0002,95.55,7509.20,7499.10
2026-07-22,-0.0007,-0.0013,102.17,7498.96,7422.12
2026-07-23,-0.0126,0.0008,100.73,7408.30,7415.71
2026-07-24,0.0003,0.0068,100.91,7411.98,7406.27
2026-07-27,0.0001,0.0045,98.51,7413.18,7399.87
2026-07-28,-0.0023,-0.0138,109.47,7428.78,7372.85
2026-07-29,-0.0153,0.0064,94.66,7316.15,7411.13
2026-07-30,0.0165,0.0037,91.64,7437.63,7428.29
2026-07-31,0.0063,0.0128,90.81,7489.72,7569.98
2026-08-03,0.0145,0.0139,92.57,7600.50,7669.91
2026-08-04,0.0180,0.0062,90.43,7736.52,7772.05
2026-08-05,-0.0021,-0.0005,88.72,7723.55,7727.98
2026-08-06,-0.0019,0.0029,90.42,7709.96,7753.11
2026-08-07,0.0058,0.0002,92.51,7757.64,7767.64
2026-08-10,-0.0004,-0.0051,90.90,7753.11,7762.08
2026-08-11,-0.0038,-0.0022,88.50,7728.20,7750.58
2026-08-12,0.0030,0.0046,89.42,7748.50,7814.88
2026-08-13,0.0067,0.0027,87.48,7798.99,7795.49
2026-08-14,-0.0022,-0.0059,93.92,7785.76,7774.58
2026-08-18,-0.0086,-0.0011,92.87,7691.76,7719.98
2026-08-19,0.0038,-0.0011,86.53,7707.98,7681.04
2026-08-20,-0.0028,-0.0064,89.86,7641.16,7665.04
2026-08-21,0.0029,0.0011,86.27,7674.37,7647.55
2026-08-24,-0.0003,-0.0014,88.64,7652.86,7664.93
2026-08-25,0.0068,0.0001,85.67,7677.28,7669.12
2026-08-26,-0.0026,0.0012,85.24,7675.70,7714.45
2026-08-27,-0.0030,0.0027,82.90,7730.99,7730.42
2026-08-28,-0.0073,-0.0030,86.63,7711.76,7666.99
2026-08-31,0.0044,-0.0015,86.29,7686.14,7653.81
2026-09-01,0.0102,-0.0005,91.25,7631.47,7669.99
2026-09-02,-0.0042,0.0042,86.25,7666.60,7703.30
2026-09-03,-0.0013,0.0079,83.80,7747.71,7728.09
2026-09-04,0.0045,-0.0041,84.42,7718.60,7682.33
2026-09-08,-0.0049,-0.0057,88.69,7675.52,7654.42
2026-09-09,-0.0058,-0.0032,94.50,7636.36,7600.18
2026-09-10,0.0082,-0.0004,102.66,7591.70,7671.14
2026-09-11,-0.0045,0.0026,91.28,7656.98,7601.07
2026-09-14,-0.0048,0.0011,94.89,7619.98,7586.37
2026-09-15,-0.0043,-0.0035,94.91,7585.73,7600.67
2026-09-16,0.0103,-0.0065,95.41,7551.81,7627.70
